date,symbol,open,high,low,close,volume
2017-08-15,BID,11.32,11.35,11.08,11.08,1784120
2017-08-16,BID,11.08,11.13,10.81,10.91,2001570
2017-08-17,BID,10.91,11.0,10.42,10.48,5639850
2017-08-18,BID,10.37,10.91,10.26,10.78,2250620
2017-08-21,BID,10.78,10.83,10.48,10.72,1027780
2017-08-22,BID,10.7,10.7,10.45,10.45,1799420
2017-08-23,BID,10.45,10.64,10.4,10.59,1180060
2017-08-24,BID,10.61,10.86,10.59,10.81,2016560
2017-08-25,BID,10.86,10.97,10.75,10.78,1774880
2017-08-28,BID,10.78,10.86,10.67,10.72,1189610
2017-08-29,BID,10.72,10.86,10.7,10.72,1636320
2017-08-30,BID,10.75,10.75,10.56,10.56,1728800
2017-08-31,BID,10.59,11.3,10.56,11.3,5421350
2017-09-01,BID,11.51,11.79,11.32,11.49,3772890
2017-09-05,BID,11.46,11.46,11.24,11.43,1769650
2017-09-06,BID,11.3,11.41,11.16,11.24,2638220
2017-09-07,BID,11.21,11.57,11.21,11.38,2388710
2017-09-08,BID,11.38,11.38,11.11,11.11,2150240
2017-09-11,BID,11.02,11.24,10.91,11.02,1595410
2017-09-12,BID,10.97,11.3,10.94,11.19,1086660
2017-09-13,BID,11.27,11.3,11.11,11.19,865900
2017-09-14,BID,11.11,11.38,11.08,11.27,1630270
2017-09-15,BID,11.27,11.27,11.11,11.13,761660
2017-09-18,BID,11.13,11.3,11.11,11.19,1867500
2017-09-19,BID,11.24,11.38,11.16,11.27,1771760
2017-09-20,BID,11.27,11.27,11.13,11.19,1165030
2017-09-21,BID,11.13,11.41,11.11,11.38,3542580
2017-09-22,BID,11.3,11.41,11.24,11.24,1539180
2017-09-25,BID,11.24,11.27,11.08,11.13,1296670
2017-09-26,BID,11.13,11.24,11.11,11.13,1400280
2017-09-27,BID,11.13,11.19,11.02,11.02,1270120
2017-09-28,BID,11.02,11.13,10.72,10.72,2620840
2017-09-29,BID,10.72,10.83,10.7,10.7,2047180
2017-10-02,BID,10.7,10.91,10.7,10.75,1316100
2017-10-03,BID,10.81,11.02,10.75,10.83,2747020
2017-10-04,BID,10.86,11.02,10.83,10.94,1798560
2017-10-05,BID,11.02,11.05,10.83,10.86,1259970
2017-10-06,BID,10.83,11.02,10.81,10.89,2512220
2017-10-09,BID,11.02,11.08,10.91,10.91,1931480
2017-10-10,BID,10.91,11.02,10.89,10.91,786110
2017-10-11,BID,10.97,11.16,10.94,11.08,2054250
2017-10-12,BID,11.08,11.16,11.0,11.0,1237240
2017-10-13,BID,10.97,11.05,10.94,11.02,720350
2017-10-16,BID,11.02,11.16,11.02,11.11,1723790
2017-10-17,BID,11.13,11.73,11.13,11.73,5851150
2017-10-18,BID,11.73,11.84,11.62,11.68,3877330
2017-10-19,BID,11.57,11.65,11.35,11.6,2221120
2017-10-20,BID,11.51,11.71,11.51,11.68,2795090
2017-10-23,BID,11.57,11.71,11.35,11.41,2104280
2017-10-24,BID,11.27,11.41,11.24,11.32,991780
2017-10-25,BID,11.3,11.62,11.3,11.46,1419710
2017-10-26,BID,11.41,11.57,11.08,11.3,1949360
2017-10-27,BID,11.3,11.57,11.21,11.57,1525120
2017-10-30,BID,11.57,12.17,11.57,11.92,5516030
