date,symbol,open,high,low,close,volume
2017-08-15,BVH,47.02,47.27,46.94,46.94,183940
2017-08-16,BVH,46.77,47.02,46.52,47.02,237440
2017-08-17,BVH,47.1,47.1,46.52,46.69,197450
2017-08-18,BVH,46.69,46.77,46.44,46.61,195000
2017-08-21,BVH,46.61,46.61,45.44,45.69,368370
2017-08-22,BVH,45.28,45.77,44.69,44.69,212560
2017-08-23,BVH,44.69,45.36,44.69,44.78,284170
2017-08-24,BVH,44.78,45.19,44.45,44.45,157990
2017-08-25,BVH,44.45,44.78,44.36,44.61,127820
2017-08-28,BVH,44.86,45.19,44.78,44.94,85150
2017-08-29,BVH,44.86,45.44,44.78,44.86,348250
2017-08-30,BVH,44.03,45.03,44.03,44.69,155700
2017-08-31,BVH,44.69,45.36,44.61,44.78,213280
2017-09-01,BVH,44.94,45.61,44.94,45.36,227080
2017-09-05,BVH,45.36,46.02,45.03,45.44,112390
2017-09-06,BVH,45.53,45.69,45.28,45.28,177080
2017-09-07,BVH,45.28,45.53,45.19,45.28,154830
2017-09-08,BVH,45.28,46.02,45.28,45.77,300590
2017-09-11,BVH,46.36,47.52,45.77,46.61,730550
2017-09-12,BVH,46.69,47.19,46.69,47.02,296330
2017-09-13,BVH,47.02,47.1,46.52,46.85,148220
2017-09-14,BVH,46.85,46.94,46.44,46.52,215670
2017-09-15,BVH,46.52,47.02,46.44,47.02,222110
2017-09-18,BVH,46.85,46.85,46.52,46.52,215360
2017-09-19,BVH,46.52,47.27,46.52,46.69,178600
2017-09-20,BVH,46.69,47.02,46.52,46.94,206900
2017-09-21,BVH,47.02,47.6,46.94,47.27,436530
2017-09-22,BVH,47.27,47.35,47.1,47.35,73620
2017-09-25,BVH,47.35,47.35,46.69,46.77,195030
2017-09-26,BVH,46.61,46.77,46.19,46.36,263350
2017-09-27,BVH,46.11,46.44,45.94,46.27,197990
2017-09-28,BVH,46.27,46.27,45.69,45.69,221310
2017-09-29,BVH,45.69,46.11,45.36,45.69,74740
2017-10-02,BVH,45.69,46.02,44.2,44.45,237690
2017-10-03,BVH,44.94,44.94,43.86,44.78,221400
2017-10-04,BVH,44.45,44.78,44.28,44.78,100900
2017-10-05,BVH,44.86,44.86,44.45,44.53,194950
2017-10-06,BVH,44.45,45.19,44.45,44.94,103980
2017-10-09,BVH,45.28,45.28,43.95,44.11,472570
2017-10-10,BVH,44.45,44.61,44.03,44.28,133130
2017-10-11,BVH,44.28,44.78,44.28,44.53,185600
2017-10-12,BVH,44.53,46.27,44.45,46.11,700040
2017-10-13,BVH,46.11,46.61,45.69,45.86,243870
2017-10-16,BVH,45.77,46.77,45.77,46.19,500640
2017-10-17,BVH,46.19,46.77,46.19,46.27,169220
2017-10-18,BVH,46.52,46.94,46.27,46.61,334570
2017-10-19,BVH,46.61,47.35,46.61,46.61,216520
2017-10-20,BVH,46.61,46.61,45.53,45.69,388740
2017-10-23,BVH,45.69,45.69,44.69,44.86,306530
2017-10-24,BVH,44.86,45.69,44.53,44.61,166020
2017-10-25,BVH,44.61,45.36,44.61,45.19,122460
2017-10-26,BVH,45.53,45.53,44.69,45.28,183450
2017-10-27,BVH,45.28,45.28,44.03,44.03,220320
2017-10-30,BVH,44.61,45.11,42.95,42.95,322400
2017-10-31,BVH,42.95,42.95,41.21,41.54,645780
2017-11-01,BVH,41.29,42.29,41.04,42.04,305020
2017-11-02,BVH,41.62,42.04,41.12,41.12,136270
2017-11-03,BVH,40.79,41.87,40.71,41.87,147110
2017-11-06,BVH,41.87,43.12,41.54,42.45,218720
2017-11-07,BVH,42.45,43.03,42.45,42.62,193570
2017-11-08,BVH,42.62,43.03,42.62,42.78,287410
2017-11-09,BVH,42.78,43.95,42.78,42.87,317590
2017-11-10,BVH,42.78,43.78,42.78,43.2,398450
2017-11-13,BVH,43.2,44.45,43.2,43.95,514670
2017-11-14,BVH,44.45,44.53,43.86,44.11,307850
2017-11-15,BVH,44.03,44.03,43.53,43.61,269160
2017-11-16,BVH,43.61,43.7,42.95,43.37,386170
2017-11-17,BVH,43.37,44.78,43.37,43.61,622640
2017-11-20,BVH,44.03,44.03,43.2,43.53,322050
2017-11-21,BVH,43.7,46.52,43.61,45.69,1679200
2017-11-22,BVH,46.02,47.69,46.02,47.69,1478030
2017-11-23,BVH,48.18,48.35,47.02,47.52,911190
2017-11-24,BVH,47.1,47.85,46.69,47.85,877510
2017-11-27,BVH,48.18,49.26,47.93,48.52,747450
