date,symbol,open,high,low,close,volume
2017-08-07,DGC,6.93,6.93,6.82,6.82,47200
2017-08-08,DGC,6.82,6.99,6.82,6.89,59410
2017-08-09,DGC,6.99,6.99,6.78,6.82,27669
2017-08-10,DGC,6.93,6.93,6.91,6.93,11100
2017-08-11,DGC,6.82,6.89,6.82,6.82,8900
2017-08-14,DGC,6.82,7.02,6.65,6.89,105120
2017-08-15,DGC,6.93,6.93,6.78,6.87,19629
2017-08-16,DGC,6.87,7.46,6.87,7.46,274930
2017-08-17,DGC,7.53,7.89,7.23,7.23,204784
2017-08-18,DGC,7.25,7.38,7.23,7.38,61430
2017-08-21,DGC,7.23,7.36,7.19,7.25,94630
2017-08-22,DGC,7.25,7.25,7.17,7.19,85470
2017-08-23,DGC,7.19,7.29,7.04,7.29,45520
2017-08-24,DGC,7.25,7.25,7.19,7.25,18830
2017-08-25,DGC,7.25,7.25,7.14,7.25,73850
2017-08-28,DGC,7.27,7.46,7.23,7.36,47720
2017-08-29,DGC,7.25,7.53,7.25,7.42,112622
2017-08-30,DGC,7.42,7.44,7.31,7.38,19000
2017-08-31,DGC,7.4,7.49,7.4,7.42,34900
2017-09-01,DGC,7.42,7.42,7.36,7.36,7678
2017-09-05,DGC,7.36,7.38,7.25,7.31,25100
2017-09-06,DGC,7.25,7.27,7.21,7.27,23500
2017-09-07,DGC,7.29,7.36,7.25,7.34,12741
2017-09-08,DGC,7.29,7.29,7.21,7.23,37050
2017-09-11,DGC,7.23,7.23,7.21,7.23,34502
2017-09-12,DGC,7.19,7.23,7.1,7.23,16610
2017-09-13,DGC,7.23,7.25,7.21,7.21,29020
2017-09-14,DGC,7.23,7.27,7.21,7.21,35580
2017-09-15,DGC,7.21,7.21,6.76,6.78,176300
2017-09-18,DGC,6.82,7.04,6.82,6.97,47801
2017-09-19,DGC,7.08,7.08,6.99,7.04,28745
2017-09-20,DGC,7.04,7.04,6.33,6.91,157900
2017-09-21,DGC,6.91,7.04,6.91,6.97,88701
2017-09-22,DGC,7.04,7.06,6.97,7.02,61669
2017-09-25,DGC,7.02,7.12,7.02,7.12,61750
2017-09-26,DGC,7.12,7.17,7.04,7.17,44600
2017-09-27,DGC,7.17,7.25,7.12,7.25,44400
2017-09-28,DGC,7.17,7.25,7.14,7.21,14000
2017-09-29,DGC,7.17,7.31,7.12,7.31,39100
2017-10-02,DGC,7.25,7.27,7.21,7.21,18135
2017-10-03,DGC,7.21,7.23,7.19,7.19,33600
2017-10-04,DGC,7.21,7.31,7.21,7.31,35600
2017-10-05,DGC,7.29,7.31,7.29,7.31,16000
2017-10-06,DGC,7.31,7.34,7.27,7.27,9400
2017-10-09,DGC,7.27,7.31,7.25,7.31,19580
2017-10-10,DGC,7.29,7.34,7.27,7.31,19435
2017-10-11,DGC,7.31,7.31,7.25,7.25,19000
2017-10-12,DGC,7.25,7.31,7.25,7.27,29050
2017-10-13,DGC,7.31,7.31,7.21,7.23,20300
2017-10-16,DGC,7.23,7.25,7.23,7.23,8600
2017-10-17,DGC,7.14,7.27,7.14,7.27,15100
2017-10-18,DGC,7.25,7.27,7.23,7.27,28600
2017-10-19,DGC,7.36,7.46,7.23,7.25,33250
2017-10-20,DGC,7.25,7.25,7.21,7.23,9900
2017-10-23,DGC,7.17,7.17,6.89,6.95,25006
2017-10-24,DGC,7.04,7.53,6.93,6.93,13700
2017-10-25,DGC,6.99,7.02,6.93,6.97,33500
2017-10-26,DGC,6.93,6.93,6.91,6.93,28400
2017-10-27,DGC,6.93,7.02,6.93,6.97,4420
2017-10-30,DGC,7.04,7.04,6.99,6.99,1600
2017-10-31,DGC,6.97,6.99,6.87,6.99,6800
2017-11-01,DGC,6.93,6.97,6.87,6.97,9700
2017-11-02,DGC,6.87,6.93,6.87,6.89,19100
2017-11-03,DGC,6.97,6.97,6.87,6.91,30700
2017-11-06,DGC,6.93,6.93,6.87,6.87,12011
2017-11-07,DGC,6.82,6.95,6.82,6.89,28039
2017-11-08,DGC,6.89,7.02,6.89,6.93,20600
2017-11-09,DGC,6.99,6.99,6.95,6.99,3400
2017-11-10,DGC,6.99,7.02,6.97,6.97,4000
2017-11-13,DGC,6.95,6.97,6.93,6.95,25900
2017-11-14,DGC,6.91,6.93,6.89,6.89,7420
2017-11-15,DGC,6.91,6.91,6.78,6.82,50900
2017-11-16,DGC,6.82,6.87,6.8,6.87,11100
2017-11-17,DGC,6.82,6.85,6.82,6.82,40811
2017-11-20,DGC,6.82,6.82,6.78,6.8,26100
2017-11-21,DGC,6.78,6.82,6.48,6.8,33360
2017-11-22,DGC,6.87,6.97,6.82,6.91,112940
2017-11-23,DGC,6.89,6.93,6.87,6.91,58600
2017-11-24,DGC,6.89,6.95,6.89,6.91,58100
2017-11-27,DGC,6.91,6.95,6.91,6.93,59000
2017-11-28,DGC,6.93,6.95,6.89,6.95,30510
2017-11-29,DGC,6.93,7.25,6.93,6.99,67120
2017-11-30,DGC,7.04,7.14,7.04,7.1,116600
2017-12-01,DGC,7.1,7.29,7.04,7.25,136500
2017-12-04,DGC,7.27,7.61,7.27,7.46,66402
2017-12-05,DGC,7.38,7.38,7.14,7.21,46700
2017-12-06,DGC,7.21,7.46,7.1,7.23,230500
2017-12-07,DGC,7.27,7.44,7.25,7.36,80000
2017-12-08,DGC,7.36,7.36,7.17,7.23,16202
2017-12-11,DGC,7.14,7.21,7.12,7.19,23400
2017-12-12,DGC,7.14,7.14,6.61,7.08,91200
2017-12-13,DGC,7.08,7.08,7.02,7.02,32700
2017-12-14,DGC,6.97,7.02,6.89,7.02,37100
2017-12-15,DGC,7.04,7.08,6.99,7.06,41100
2017-12-18,DGC,7.06,7.27,7.06,7.06,44000
2017-12-19,DGC,7.04,7.04,6.95,6.99,46873
2017-12-20,DGC,6.97,7.04,6.93,6.97,76800
2017-12-21,DGC,7.04,7.1,6.97,7.1,49030
2017-12-22,DGC,7.1,7.12,7.04,7.04,16512
2017-12-25,DGC,7.04,7.12,6.99,7.12,29600
2017-12-26,DGC,7.14,7.23,7.1,7.1,14200
2017-12-27,DGC,7.06,7.08,6.99,7.08,30400
2017-12-28,DGC,7.04,7.14,6.97,7.14,30000
2017-12-29,DGC,7.02,7.02,6.97,6.99,7200
2018-01-02,DGC,7.14,7.14,6.97,7.02,10651
2018-01-03,DGC,7.04,7.04,6.82,6.99,59129
2018-01-04,DGC,6.97,7.02,6.93,7.02,22210
2018-01-05,DGC,7.04,7.04,6.87,6.99,19156
2018-01-08,DGC,7.04,7.42,7.04,7.4,136500
2018-01-09,DGC,7.4,7.42,7.25,7.27,60400
2018-01-10,DGC,7.29,7.34,7.21,7.27,56910
2018-01-11,DGC,7.29,7.31,7.21,7.31,61600
2018-01-12,DGC,7.34,7.38,7.29,7.34,92400
2018-01-15,DGC,7.34,7.49,7.29,7.36,97100
2018-01-16,DGC,7.34,7.36,7.21,7.25,62210
2018-01-17,DGC,7.34,7.34,7.02,7.07,53002
2018-01-18,DGC,6.98,7.0,6.57,6.96,97300
2018-01-19,DGC,6.91,6.98,6.84,6.96,32200
2018-01-22,DGC,6.96,6.98,6.91,6.96,12708
2018-01-23,DGC,6.96,7.14,6.96,6.98,45800
2018-01-24,DGC,7.02,7.02,6.96,6.98,54600
2018-01-25,DGC,6.98,7.02,6.93,7.0,80302
2018-01-26,DGC,6.98,6.98,6.93,6.98,27000
2018-01-29,DGC,7.0,7.0,6.91,6.93,40960
2018-01-30,DGC,6.93,6.96,6.8,6.96,56300
2018-01-31,DGC,6.91,6.96,6.89,6.96,19400
2018-02-01,DGC,6.93,7.02,6.91,7.02,45511
2018-02-02,DGC,7.02,7.02,6.93,6.96,21700
2018-02-05,DGC,6.93,6.96,6.87,6.87,53460
2018-02-06,DGC,6.37,6.8,6.37,6.75,15315
2018-02-07,DGC,6.75,7.02,6.75,6.96,15100
2018-02-08,DGC,6.87,6.96,6.87,6.93,22200
2018-02-09,DGC,6.82,6.87,6.77,6.87,11300
2018-02-12,DGC,6.87,6.91,6.87,6.87,11800
2018-02-13,DGC,6.82,7.25,6.68,7.25,56718
2018-02-21,DGC,7.23,7.23,6.98,7.14,69633
2018-02-22,DGC,7.16,7.23,7.11,7.14,41260
2018-02-23,DGC,7.14,7.18,7.14,7.14,14718
2018-02-26,DGC,7.23,7.23,7.07,7.14,35800
2018-02-27,DGC,7.07,7.11,6.96,6.96,81300
2018-02-28,DGC,6.96,6.98,6.96,6.98,56360
2018-03-01,DGC,7.02,7.02,7.0,7.0,5200
2018-03-02,DGC,7.02,7.16,6.98,7.16,29944
2018-03-05,DGC,7.3,7.64,7.25,7.57,98650
2018-03-06,DGC,7.59,7.59,7.25,7.41,34410
2018-03-07,DGC,7.41,7.43,7.32,7.36,16000
2018-03-08,DGC,7.39,7.59,7.36,7.45,60109
2018-03-09,DGC,7.45,8.11,7.45,7.95,345600
