date,symbol,open,high,low,close,volume
2017-08-15,MSN,35.2,35.77,35.2,35.69,629860
2017-08-16,MSN,35.52,36.41,35.52,36.09,448900
2017-08-17,MSN,36.25,36.5,35.93,36.33,1177340
2017-08-18,MSN,35.61,36.37,35.61,36.09,575730
2017-08-21,MSN,36.01,36.5,36.01,36.41,575380
2017-08-22,MSN,36.58,36.74,36.41,36.41,346450
2017-08-23,MSN,36.41,36.9,36.41,36.9,297730
2017-08-24,MSN,37.18,37.3,36.9,37.22,261840
2017-08-25,MSN,37.22,37.63,37.22,37.63,217080
2017-08-28,MSN,37.63,38.03,36.66,38.03,453010
2017-08-29,MSN,37.22,38.07,36.58,36.58,726090
2017-08-30,MSN,37.22,37.95,36.9,37.87,308170
2017-08-31,MSN,38.11,38.84,37.95,38.44,489330
2017-09-01,MSN,38.44,39.25,37.91,39.0,691700
2017-09-05,MSN,39.0,39.08,38.52,38.76,959570
2017-09-06,MSN,38.76,39.65,38.76,38.84,509030
2017-09-07,MSN,39.25,40.46,38.88,40.46,887640
2017-09-08,MSN,40.62,43.29,40.62,43.05,1259150
2017-09-11,MSN,43.21,46.04,42.89,43.29,1861440
2017-09-12,MSN,43.7,44.91,43.7,44.59,1145230
2017-09-13,MSN,45.15,45.8,43.7,45.32,621580
2017-09-14,MSN,44.99,46.12,44.99,45.56,566010
2017-09-15,MSN,45.56,45.56,44.1,45.4,1652830
2017-09-18,MSN,45.4,45.72,44.67,45.56,841840
2017-09-19,MSN,44.83,46.12,44.83,44.91,508690
2017-09-20,MSN,44.59,44.91,43.54,43.54,567800
2017-09-21,MSN,43.13,43.37,41.43,41.43,726040
2017-09-22,MSN,41.19,42.73,41.19,42.08,647270
2017-09-25,MSN,43.7,44.51,43.45,44.1,581110
2017-09-26,MSN,44.1,45.23,43.21,45.23,382200
2017-09-27,MSN,44.18,44.67,44.18,44.43,325200
2017-09-28,MSN,44.91,45.07,44.59,45.07,532450
2017-09-29,MSN,45.32,46.21,44.1,44.59,465570
2017-10-02,MSN,44.67,44.75,44.1,44.75,144920
2017-10-03,MSN,44.34,44.91,43.78,44.43,124800
2017-10-04,MSN,43.86,44.91,43.7,44.51,183890
2017-10-05,MSN,44.51,46.85,44.51,46.69,586070
2017-10-06,MSN,46.77,46.77,45.96,46.21,144570
2017-10-09,MSN,46.53,46.85,45.8,46.29,287000
2017-10-10,MSN,46.12,46.53,45.72,46.29,529580
2017-10-11,MSN,46.12,46.29,44.99,44.99,173530
2017-10-12,MSN,44.99,46.37,44.99,46.37,375410
2017-10-13,MSN,46.37,47.5,45.56,47.1,341900
2017-10-16,MSN,46.37,47.1,46.29,46.37,2834670
2017-10-17,MSN,46.21,46.37,45.48,45.48,2651810
