date,symbol,open,high,low,close,volume
2017-08-15,MWG,24.42,24.88,24.42,24.6,384890
2017-08-16,MWG,24.65,24.88,24.58,24.63,266480
2017-08-17,MWG,24.53,24.63,24.21,24.21,434080
2017-08-18,MWG,24.21,24.49,23.96,24.21,319960
2017-08-21,MWG,24.21,24.35,24.12,24.31,278040
2017-08-22,MWG,24.35,24.47,24.1,24.1,199310
2017-08-23,MWG,24.1,24.19,23.82,23.85,452770
2017-08-24,MWG,23.85,24.21,23.82,24.17,444160
2017-08-25,MWG,24.19,24.28,23.98,24.21,275330
2017-08-28,MWG,24.26,24.28,24.1,24.28,385200
2017-08-29,MWG,24.35,24.76,24.35,24.56,509890
2017-08-30,MWG,24.53,25.22,24.51,25.11,1158810
2017-08-31,MWG,25.11,25.2,25.04,25.09,361660
2017-09-01,MWG,25.11,25.18,24.99,25.09,492190
2017-09-05,MWG,25.09,25.11,24.76,24.76,418240
2017-09-06,MWG,24.74,24.99,24.72,24.76,268760
2017-09-07,MWG,24.88,25.06,24.83,24.86,254140
2017-09-08,MWG,24.88,25.18,24.88,25.11,317800
2017-09-11,MWG,25.2,25.8,25.2,25.34,829940
2017-09-12,MWG,25.36,25.68,25.34,25.68,307880
2017-09-13,MWG,25.89,26.44,25.89,26.25,873330
2017-09-14,MWG,26.37,26.58,26.16,26.25,383810
2017-09-15,MWG,26.16,26.32,25.96,26.09,299400
2017-09-18,MWG,26.03,26.35,25.91,26.19,365170
2017-09-19,MWG,26.19,26.32,25.98,26.07,384620
2017-09-20,MWG,26.14,26.21,26.05,26.14,234100
2017-09-21,MWG,26.14,26.35,26.14,26.16,221340
2017-09-22,MWG,26.16,26.8,26.16,26.8,879430
2017-09-25,MWG,26.83,27.38,26.83,27.06,552100
2017-09-26,MWG,27.06,27.26,26.83,26.85,412600
2017-09-27,MWG,26.83,26.94,26.37,26.37,465320
2017-09-28,MWG,26.48,26.83,26.35,26.44,606770
2017-09-29,MWG,26.6,26.76,26.55,26.67,190250
2017-10-02,MWG,26.67,27.03,26.67,26.9,300420
2017-10-03,MWG,26.9,27.22,26.85,27.06,552510
2017-10-04,MWG,27.06,27.36,26.99,27.06,316560
2017-10-05,MWG,27.26,27.26,26.83,26.83,339310
2017-10-06,MWG,26.9,27.01,26.8,26.94,276260
2017-10-09,MWG,26.97,27.29,26.97,27.29,391870
2017-10-10,MWG,27.29,28.32,27.29,28.32,847320
2017-10-11,MWG,28.32,28.48,28.02,28.02,516070
2017-10-12,MWG,28.18,28.32,28.07,28.2,522850
2017-10-13,MWG,28.2,28.66,28.2,28.66,539360
2017-10-16,MWG,28.78,29.24,28.78,29.24,468240
2017-10-17,MWG,29.12,29.35,29.01,29.26,438880
2017-10-18,MWG,29.3,29.85,29.14,29.46,789940
2017-10-19,MWG,29.46,30.27,29.46,30.27,643740
2017-10-20,MWG,30.5,30.91,29.19,29.24,1759640
2017-10-23,MWG,29.12,29.21,28.78,28.78,886300
2017-10-24,MWG,28.64,29.35,28.64,29.35,806950
2017-10-25,MWG,29.58,30.11,29.46,30.11,586890
2017-10-26,MWG,30.5,30.5,29.46,29.88,906180
2017-10-27,MWG,29.83,30.04,29.65,30.04,498290
2017-10-30,MWG,30.36,30.36,29.58,29.76,586820
2017-10-31,MWG,29.69,29.76,29.46,29.46,380140
2017-11-01,MWG,29.56,29.56,29.01,29.1,613970
2017-11-02,MWG,29.01,29.1,27.31,27.52,1823520
2017-11-03,MWG,27.52,28.78,27.52,28.78,596960
2017-11-06,MWG,28.96,29.44,28.89,29.12,407030
2017-11-07,MWG,29.14,29.21,28.87,28.96,404420
2017-11-08,MWG,28.96,29.35,28.96,29.35,500630
2017-11-09,MWG,29.35,29.92,29.35,29.58,963520
2017-11-10,MWG,29.58,29.88,29.26,29.56,595520
2017-11-13,MWG,29.56,29.56,29.19,29.35,543700
2017-11-14,MWG,29.58,30.96,29.46,30.84,2057700
2017-11-15,MWG,30.84,31.32,30.61,30.61,715210
2017-11-16,MWG,30.61,31.02,30.5,30.84,589230
2017-11-17,MWG,30.96,31.07,30.52,30.73,682340
2017-11-20,MWG,30.73,31.3,30.59,31.3,767100
2017-11-21,MWG,31.3,31.78,31.3,31.3,965780
2017-11-22,MWG,31.3,31.69,31.05,31.53,813520
2017-11-23,MWG,31.64,31.78,31.18,31.37,680450
2017-11-24,MWG,31.25,31.41,31.09,31.32,540170
