date,symbol,open,high,low,close,volume
2017-08-15,PNJ,32.78,33.34,32.72,33.0,209890
2017-08-16,PNJ,33.31,33.31,32.91,32.97,117000
2017-08-17,PNJ,33.03,33.03,32.56,32.62,114060
2017-08-18,PNJ,32.4,33.03,32.25,32.81,165470
2017-08-21,PNJ,32.78,32.94,32.56,32.72,97190
2017-08-22,PNJ,32.59,32.87,32.31,32.47,123130
2017-08-23,PNJ,32.56,32.56,32.09,32.47,147250
2017-08-24,PNJ,32.47,32.84,32.25,32.75,83750
2017-08-25,PNJ,32.87,32.87,32.44,32.56,131210
2017-08-28,PNJ,32.56,33.38,32.5,32.87,221110
2017-08-29,PNJ,33.31,33.5,33.06,33.09,213400
2017-08-30,PNJ,33.03,33.97,33.03,33.66,238620
2017-08-31,PNJ,33.81,33.94,33.5,33.66,170810
2017-09-01,PNJ,33.78,33.91,33.66,33.81,178380
2017-09-05,PNJ,33.81,33.97,33.69,33.69,143660
2017-09-06,PNJ,33.75,33.81,33.44,33.5,171220
2017-09-07,PNJ,33.5,33.78,33.5,33.66,98480
2017-09-08,PNJ,33.81,34.41,33.69,34.31,243200
2017-09-11,PNJ,34.31,34.91,33.97,34.19,248500
2017-09-12,PNJ,34.19,34.41,34.06,34.31,171240
2017-09-13,PNJ,34.31,35.35,34.31,34.94,333350
2017-09-14,PNJ,35.22,35.29,34.85,34.91,166430
2017-09-15,PNJ,34.91,35.07,34.63,35.07,93030
2017-09-18,PNJ,35.35,35.54,35.07,35.29,156690
2017-09-19,PNJ,35.29,36.01,35.29,35.69,219100
2017-09-20,PNJ,35.69,36.16,35.69,35.79,147810
2017-09-21,PNJ,36.07,36.29,35.85,35.88,219060
2017-09-22,PNJ,35.97,36.16,35.66,35.82,262280
2017-09-25,PNJ,35.79,36.19,35.75,36.01,111570
2017-09-26,PNJ,36.01,36.22,35.88,35.94,150590
2017-09-27,PNJ,35.82,35.94,35.07,35.1,445370
2017-09-28,PNJ,35.1,35.38,34.91,35.29,240310
2017-09-29,PNJ,35.29,35.63,35.13,35.63,76040
2017-10-02,PNJ,35.63,35.82,35.38,35.41,89470
2017-10-03,PNJ,35.38,35.94,35.22,35.66,235430
2017-10-04,PNJ,35.75,35.82,35.63,35.66,75800
2017-10-05,PNJ,35.72,35.79,34.94,34.94,462940
2017-10-06,PNJ,34.88,35.1,34.5,34.6,409370
2017-10-09,PNJ,34.75,34.91,34.6,34.72,225550
2017-10-10,PNJ,34.53,35.54,34.53,35.54,175830
2017-10-11,PNJ,35.5,35.79,35.07,35.07,330130
2017-10-12,PNJ,34.75,34.75,33.81,34.1,894060
2017-10-13,PNJ,34.1,34.16,33.06,34.16,799500
2017-10-16,PNJ,34.28,34.72,34.03,34.41,270580
2017-10-17,PNJ,34.22,34.72,34.22,34.6,200920
2017-10-18,PNJ,34.44,34.85,34.31,34.85,331670
2017-10-19,PNJ,34.85,34.91,34.28,34.6,93460
2017-10-20,PNJ,34.6,34.88,34.13,34.13,184910
2017-10-23,PNJ,33.81,34.13,33.28,33.47,227440
2017-10-24,PNJ,33.47,33.81,33.41,33.53,123800
2017-10-25,PNJ,33.53,33.91,33.53,33.56,139000
2017-10-26,PNJ,33.56,33.69,33.44,33.47,136070
2017-10-27,PNJ,33.47,34.0,33.47,33.66,148280
2017-10-30,PNJ,33.81,34.13,33.69,33.85,190440
2017-10-31,PNJ,33.81,33.85,33.56,33.69,87730
2017-11-01,PNJ,33.59,33.97,33.59,33.78,129000
2017-11-02,PNJ,33.78,33.81,31.94,32.44,690570
2017-11-03,PNJ,32.44,32.87,32.4,32.87,126030
2017-11-06,PNJ,32.87,33.81,32.87,33.81,185770
2017-11-07,PNJ,33.78,33.81,33.56,33.72,147300
2017-11-08,PNJ,33.72,34.13,33.72,34.13,192550
2017-11-09,PNJ,34.44,34.91,34.28,34.57,298600
2017-11-10,PNJ,34.31,34.82,34.31,34.72,153350
2017-11-13,PNJ,34.75,37.13,34.63,37.13,716480
2017-11-14,PNJ,37.57,38.2,36.63,37.57,580890
2017-11-15,PNJ,37.57,38.1,37.2,37.38,306290
2017-11-16,PNJ,37.38,38.01,36.94,37.41,587280
2017-11-17,PNJ,37.73,37.85,36.35,36.38,1090260
2017-11-20,PNJ,36.63,37.1,36.35,36.94,311370
2017-11-21,PNJ,37.26,37.38,36.79,36.82,263010
2017-11-22,PNJ,37.1,37.88,36.82,37.88,718750
2017-11-23,PNJ,38.2,38.82,37.92,38.48,533760
2017-11-24,PNJ,38.2,38.98,37.88,38.64,289140
2017-11-27,PNJ,38.82,38.98,38.07,38.2,436100
2017-11-28,PNJ,38.2,38.48,37.79,38.01,407880
2017-11-29,PNJ,38.07,38.35,37.92,38.2,180710
2017-11-30,PNJ,38.76,39.26,38.26,39.01,306190
2017-12-01,PNJ,39.01,39.76,39.01,39.76,291940
2017-12-04,PNJ,39.76,40.08,39.51,39.76,256930
2017-12-05,PNJ,39.76,39.92,39.14,39.14,468260
2017-12-06,PNJ,39.01,39.45,38.73,39.14,480400
2017-12-07,PNJ,39.45,39.51,38.38,38.38,274350
2017-12-08,PNJ,38.38,38.82,38.38,38.67,246170
2017-12-11,PNJ,38.67,39.36,38.35,38.51,163830
2017-12-12,PNJ,38.82,39.14,36.63,38.67,349730
2017-12-13,PNJ,38.67,39.04,38.04,38.2,322040
2017-12-14,PNJ,38.07,39.45,38.07,39.45,233910
2017-12-15,PNJ,39.48,41.01,39.23,41.01,517860
2017-12-18,PNJ,41.33,41.8,40.61,41.01,542880
2017-12-19,PNJ,41.27,41.27,40.83,41.24,317400
2017-12-20,PNJ,41.39,41.58,41.11,41.42,244000
2017-12-21,PNJ,41.58,42.43,41.46,41.9,273660
2017-12-22,PNJ,41.58,41.9,41.24,41.24,326190
2017-12-25,PNJ,41.42,41.58,41.11,41.27,197100
2017-12-26,PNJ,41.33,41.9,41.27,41.49,159460
2017-12-27,PNJ,41.58,41.9,41.49,41.68,234490
2017-12-28,PNJ,41.87,42.56,41.68,42.56,276470
2017-12-29,PNJ,42.81,43.16,42.65,43.16,306890
2018-01-02,PNJ,43.76,43.76,42.05,42.09,798850
2018-01-03,PNJ,42.09,42.53,41.58,41.9,715160
2018-01-04,PNJ,41.9,42.53,41.71,42.21,364810
2018-01-05,PNJ,42.21,42.4,41.77,42.21,308200
2018-01-08,PNJ,42.21,42.68,41.8,42.4,225860
2018-01-09,PNJ,42.62,42.68,42.09,42.12,216780
2018-01-10,PNJ,42.21,43.47,42.21,43.19,453520
2018-01-11,PNJ,43.16,43.16,42.72,42.94,148850
2018-01-12,PNJ,42.84,43.13,42.53,43.0,281300
