date,symbol,open,high,low,close,volume
2017-08-10,SHB,2.42,2.45,2.39,2.42,7405018
2017-08-11,SHB,2.42,2.45,2.39,2.39,4161527
2017-08-14,SHB,2.42,2.45,2.39,2.45,3868429
2017-08-15,SHB,2.45,2.45,2.42,2.42,5633127
2017-08-16,SHB,2.42,2.45,2.39,2.42,4342321
2017-08-17,SHB,2.42,2.45,2.39,2.39,10122861
2017-08-18,SHB,2.39,2.42,2.33,2.39,6487002
2017-08-21,SHB,2.39,2.42,2.36,2.36,4443687
2017-08-22,SHB,2.36,2.42,2.36,2.36,6587831
2017-08-23,SHB,2.36,2.39,2.33,2.36,3384997
2017-08-24,SHB,2.36,2.39,2.33,2.39,3675208
2017-08-25,SHB,2.39,2.42,2.36,2.39,5819763
2017-08-28,SHB,2.39,2.42,2.36,2.39,4946550
2017-08-29,SHB,2.39,2.42,2.39,2.39,4706212
2017-08-30,SHB,2.36,2.42,2.36,2.36,4854983
2017-08-31,SHB,2.39,2.45,2.36,2.42,7625965
2017-09-01,SHB,2.42,2.45,2.39,2.39,2853088
2017-09-05,SHB,2.39,2.42,2.39,2.42,2453317
2017-09-06,SHB,2.42,2.42,2.39,2.39,1960451
2017-09-07,SHB,2.39,2.42,2.39,2.42,2797301
2017-09-08,SHB,2.42,2.42,2.36,2.39,10364327
2017-09-11,SHB,2.36,2.39,2.36,2.36,5668151
2017-09-12,SHB,2.36,2.39,2.33,2.36,3900200
2017-09-13,SHB,2.36,2.39,2.36,2.36,4807696
2017-09-14,SHB,2.36,2.39,2.33,2.36,6604443
2017-09-15,SHB,2.36,2.39,2.33,2.36,2512471
2017-09-18,SHB,2.36,2.48,2.36,2.42,19586600
2017-09-19,SHB,2.42,2.48,2.42,2.42,5962592
2017-09-20,SHB,2.42,2.52,2.42,2.52,22720389
2017-09-21,SHB,2.52,2.52,2.45,2.48,8308964
2017-09-22,SHB,2.52,2.52,2.45,2.45,4262467
2017-09-25,SHB,2.45,2.52,2.42,2.48,9648413
2017-09-26,SHB,2.48,2.52,2.45,2.45,7851963
2017-09-27,SHB,2.48,2.52,2.45,2.48,6697259
2017-09-28,SHB,2.48,2.52,2.45,2.45,7563092
2017-09-29,SHB,2.21,2.48,2.21,2.45,4766981
2017-10-02,SHB,2.45,2.48,2.42,2.45,5881561
2017-10-03,SHB,2.45,2.45,2.39,2.42,6480099
2017-10-04,SHB,2.42,2.45,2.39,2.45,4304110
2017-10-05,SHB,2.45,2.48,2.42,2.45,6802424
2017-10-06,SHB,2.45,2.48,2.42,2.45,3997637
2017-10-09,SHB,2.45,2.55,2.45,2.52,16139701
2017-10-10,SHB,2.45,2.55,2.45,2.48,4144422
2017-10-11,SHB,2.48,2.55,2.48,2.52,9640837
2017-10-12,SHB,2.52,2.52,2.48,2.48,4594780
2017-10-13,SHB,2.48,2.52,2.45,2.48,4395972
2017-10-16,SHB,2.48,2.52,2.45,2.48,5150539
2017-10-17,SHB,2.48,2.55,2.45,2.55,13640310
2017-10-18,SHB,2.55,2.61,2.52,2.52,12302837
2017-10-19,SHB,2.52,2.55,2.48,2.52,4956059
2017-10-20,SHB,2.52,2.55,2.48,2.48,5767178
2017-10-23,SHB,2.48,2.52,2.42,2.45,8605317
2017-10-24,SHB,2.45,2.48,2.42,2.45,5245120
2017-10-25,SHB,2.45,2.48,2.45,2.48,2638398
2017-10-26,SHB,2.48,2.48,2.39,2.42,7433889
2017-10-27,SHB,2.42,2.45,2.39,2.45,4591384
2017-10-30,SHB,2.45,2.48,2.42,2.42,4545551
2017-10-31,SHB,2.42,2.45,2.39,2.39,3832762
2017-11-01,SHB,2.18,2.45,2.18,2.42,12190433
2017-11-02,SHB,2.45,2.45,2.39,2.39,2759769
2017-11-03,SHB,2.42,2.42,2.33,2.39,6419720
2017-11-06,SHB,2.39,2.42,2.36,2.39,6908876
2017-11-07,SHB,2.39,2.42,2.36,2.39,3671254
2017-11-08,SHB,2.18,2.45,2.18,2.42,7129844
2017-11-09,SHB,2.42,2.45,2.39,2.39,4120643
2017-11-10,SHB,2.42,2.42,2.39,2.42,3577296
2017-11-13,SHB,2.39,2.42,2.36,2.39,3907761
2017-11-14,SHB,2.39,2.45,2.36,2.42,8747657
2017-11-15,SHB,2.39,2.45,2.39,2.45,3412629
2017-11-16,SHB,2.45,2.45,2.42,2.42,7007172
2017-11-17,SHB,2.42,2.55,2.42,2.48,18790343
2017-11-20,SHB,2.48,2.52,2.45,2.48,4727218
2017-11-21,SHB,2.48,2.52,2.48,2.48,8283178
2017-11-22,SHB,2.48,2.52,2.45,2.48,9220572
2017-11-23,SHB,2.48,2.64,2.48,2.55,28981312
2017-11-24,SHB,2.48,2.58,2.48,2.55,7898728
2017-11-27,SHB,2.58,2.79,2.55,2.7,30633477
2017-11-28,SHB,2.7,2.76,2.67,2.7,14380856
2017-11-29,SHB,2.7,2.88,2.7,2.88,17731493
2017-11-30,SHB,2.91,2.94,2.85,2.88,19799410
2017-12-01,SHB,2.88,2.91,2.85,2.88,16847802
2017-12-04,SHB,2.91,3.04,2.88,2.94,37147968
2017-12-05,SHB,2.98,2.98,2.79,2.79,22930133
2017-12-06,SHB,2.79,2.88,2.73,2.85,21639597
2017-12-07,SHB,2.88,2.91,2.85,2.91,10001532
2017-12-08,SHB,2.91,2.94,2.88,2.88,9587571
2017-12-11,SHB,2.79,2.85,2.64,2.73,22119395
2017-12-12,SHB,2.76,2.79,2.52,2.67,31717574
2017-12-13,SHB,2.67,2.73,2.61,2.64,9694279
2017-12-14,SHB,2.64,2.7,2.61,2.7,7865706
2017-12-15,SHB,2.7,2.7,2.67,2.67,5814638
2017-12-18,SHB,2.7,2.82,2.7,2.82,11676917
2017-12-19,SHB,2.82,2.85,2.76,2.79,7662746
2017-12-20,SHB,2.79,2.85,2.76,2.82,8369009
