date,symbol,open,high,low,close,volume
2017-08-15,SSI,7.47,7.47,7.34,7.37,1489860
2017-08-16,SSI,7.34,7.4,7.34,7.37,2517880
2017-08-17,SSI,7.4,7.4,7.21,7.21,3983210
2017-08-18,SSI,7.18,7.34,7.15,7.28,4147990
2017-08-21,SSI,7.28,7.3,7.16,7.16,2181090
2017-08-22,SSI,7.16,7.18,7.03,7.03,3569570
2017-08-23,SSI,7.06,7.12,6.99,7.12,3220320
2017-08-24,SSI,7.09,7.21,7.09,7.13,2527440
2017-08-25,SSI,7.19,7.24,7.13,7.22,2255190
2017-08-28,SSI,7.24,7.38,7.18,7.37,4638200
2017-08-29,SSI,7.38,7.4,7.3,7.3,2728450
2017-08-30,SSI,7.3,7.32,7.27,7.28,1662960
2017-08-31,SSI,7.27,7.37,7.25,7.34,3062070
2017-09-01,SSI,7.34,7.41,7.34,7.38,2119210
2017-09-05,SSI,7.35,7.41,7.28,7.35,1729240
2017-09-06,SSI,7.35,7.37,7.3,7.32,1730160
2017-09-07,SSI,7.32,7.43,7.31,7.34,2018750
2017-09-08,SSI,7.35,7.38,7.31,7.31,1520010
2017-09-11,SSI,7.28,7.34,7.22,7.24,2314020
2017-09-12,SSI,7.24,7.27,7.21,7.24,1704890
2017-09-13,SSI,7.27,7.34,7.25,7.34,1778620
2017-09-14,SSI,7.38,7.53,7.37,7.46,4068280
2017-09-15,SSI,7.46,7.5,7.41,7.5,2947640
2017-09-18,SSI,7.52,7.63,7.47,7.56,4147740
2017-09-19,SSI,7.59,7.6,7.53,7.56,2288850
2017-09-20,SSI,7.57,7.57,7.46,7.47,1488560
2017-09-21,SSI,7.47,7.52,7.43,7.43,2634790
2017-09-22,SSI,7.47,7.53,7.44,7.47,1799610
2017-09-25,SSI,7.5,7.56,7.44,7.44,1957240
2017-09-26,SSI,7.49,7.49,7.43,7.44,1600660
2017-09-27,SSI,7.44,7.49,7.43,7.44,790510
2017-09-28,SSI,7.44,7.49,7.32,7.32,1773660
2017-09-29,SSI,7.32,7.38,7.32,7.34,1668120
2017-10-02,SSI,7.34,7.4,7.31,7.32,798050
2017-10-03,SSI,7.34,7.34,7.24,7.3,1434940
2017-10-04,SSI,7.3,7.35,7.27,7.35,1351090
2017-10-05,SSI,7.38,7.52,7.35,7.49,3224300
2017-10-06,SSI,7.5,7.56,7.47,7.49,2350450
2017-10-09,SSI,7.62,7.64,7.55,7.55,3954240
2017-10-10,SSI,7.53,7.53,7.45,7.49,2785450
2017-10-11,SSI,7.56,7.58,7.5,7.53,3054990
2017-10-12,SSI,7.53,7.56,7.42,7.42,2537430
2017-10-13,SSI,7.41,7.44,7.38,7.42,1686550
2017-10-16,SSI,7.42,7.45,7.41,7.44,1821810
2017-10-17,SSI,7.44,7.56,7.42,7.56,2378250
2017-10-18,SSI,7.62,7.7,7.58,7.58,7487940
2017-10-19,SSI,7.59,7.62,7.47,7.47,2360570
2017-10-20,SSI,7.47,7.55,7.41,7.41,2588670
2017-10-23,SSI,7.38,7.38,7.2,7.2,4844710
2017-10-24,SSI,7.21,7.24,7.12,7.12,3195190
2017-10-25,SSI,7.2,7.2,7.12,7.13,1940490
2017-10-26,SSI,7.13,7.17,6.95,7.07,3117300
2017-10-27,SSI,7.01,7.07,6.98,7.07,1703920
2017-10-30,SSI,7.1,7.13,6.97,6.97,2919480
2017-10-31,SSI,6.95,7.01,6.89,6.89,2300130
2017-11-01,SSI,6.89,6.92,6.68,6.77,4748180
2017-11-02,SSI,6.86,7.01,6.83,6.88,4224030
2017-11-03,SSI,6.86,6.95,6.86,6.95,1445110
2017-11-06,SSI,6.95,7.04,6.95,7.04,1455830
2017-11-07,SSI,7.07,7.07,6.98,7.01,1751460
2017-11-08,SSI,7.01,7.04,6.98,7.03,1688320
2017-11-09,SSI,7.04,7.15,7.04,7.12,2422140
2017-11-10,SSI,7.09,7.15,7.06,7.1,1729980
2017-11-13,SSI,7.1,7.33,7.06,7.33,3562920
2017-11-14,SSI,7.38,7.47,7.24,7.41,2988570
2017-11-15,SSI,7.32,7.44,7.32,7.39,2064670
2017-11-16,SSI,7.35,7.5,7.32,7.5,3823680
2017-11-17,SSI,7.53,7.56,7.39,7.47,3145030
2017-11-20,SSI,7.44,7.56,7.42,7.5,2020940
2017-11-21,SSI,7.52,7.78,7.52,7.65,7980790
2017-11-22,SSI,7.68,7.81,7.65,7.76,4469450
2017-11-23,SSI,7.82,7.88,7.71,7.78,4370900
2017-11-24,SSI,7.78,7.81,7.68,7.78,3049650
2017-11-27,SSI,7.84,8.0,7.81,7.93,5689130
2017-11-28,SSI,7.99,7.99,7.84,7.93,3750360
2017-11-29,SSI,8.23,8.38,8.11,8.11,7091470
2017-11-30,SSI,8.17,8.32,8.13,8.2,4363400
2017-12-01,SSI,8.22,8.51,8.19,8.4,6156170
2017-12-04,SSI,8.48,8.93,8.43,8.87,6806200
2017-12-05,SSI,8.84,8.87,8.54,8.6,6557080
2017-12-06,SSI,8.57,8.6,8.22,8.52,8655410
2017-12-07,SSI,8.52,8.54,8.2,8.26,5225010
2017-12-08,SSI,8.29,8.42,8.19,8.29,3859820
2017-12-11,SSI,8.2,8.26,7.87,7.87,4164300
2017-12-12,SSI,7.93,8.06,7.58,8.06,5025080
2017-12-13,SSI,8.06,8.11,7.91,7.99,2998760
2017-12-14,SSI,7.97,8.14,7.97,8.13,2149240
