date,symbol,open,high,low,close,volume
2017-08-15,VIC,15.94,15.98,15.61,15.65,388640
2017-08-16,VIC,15.61,15.74,15.57,15.72,259540
2017-08-17,VIC,15.79,15.79,15.57,15.7,334020
2017-08-18,VIC,15.7,15.83,15.57,15.7,523350
2017-08-21,VIC,15.54,15.76,15.54,15.76,297760
2017-08-22,VIC,15.65,15.79,15.65,15.72,219070
2017-08-23,VIC,15.89,15.9,15.72,15.9,141920
2017-08-24,VIC,15.98,16.14,15.9,16.0,391490
2017-08-25,VIC,16.0,16.44,16.0,16.36,625340
2017-08-28,VIC,16.36,16.71,16.2,16.71,815250
2017-08-29,VIC,16.68,16.97,16.51,16.91,1051820
2017-08-30,VIC,16.91,18.07,16.91,18.07,1588730
2017-08-31,VIC,18.0,18.59,17.81,18.0,1464890
2017-09-01,VIC,17.89,18.33,17.89,18.14,613910
2017-09-05,VIC,18.33,18.47,18.22,18.44,1083940
2017-09-06,VIC,18.44,18.44,18.0,18.36,977140
2017-09-07,VIC,18.36,18.36,18.14,18.35,468460
2017-09-08,VIC,18.36,18.84,18.13,18.59,1674650
2017-09-11,VIC,18.51,18.51,18.11,18.11,678430
2017-09-12,VIC,17.85,18.11,17.85,18.11,1762650
2017-09-13,VIC,18.11,18.13,17.63,17.67,983030
2017-09-14,VIC,17.46,18.36,17.46,18.05,1038060
2017-09-15,VIC,17.7,18.18,17.7,17.96,3535620
2017-09-18,VIC,17.96,18.14,17.92,18.0,309400
2017-09-19,VIC,18.0,18.11,17.94,18.03,677170
2017-09-20,VIC,18.03,18.05,17.89,18.0,587010
2017-09-21,VIC,18.0,18.03,17.65,18.03,642630
2017-09-22,VIC,18.07,18.25,17.74,18.03,635450
2017-09-25,VIC,18.0,18.11,17.92,18.0,991050
2017-09-26,VIC,18.0,18.35,17.92,18.14,1097210
2017-09-27,VIC,18.29,18.92,18.29,18.77,1612010
2017-09-28,VIC,18.88,19.03,18.66,18.66,802280
2017-09-29,VIC,18.55,18.81,18.55,18.81,771460
2017-10-02,VIC,18.81,18.84,18.7,18.73,719100
2017-10-03,VIC,18.77,19.28,18.77,18.77,2940110
2017-10-04,VIC,18.88,19.1,18.81,19.1,1930800
2017-10-05,VIC,19.14,19.54,19.1,19.36,1639860
2017-10-06,VIC,19.36,19.43,19.21,19.32,1246450
2017-10-09,VIC,19.25,19.25,18.84,19.1,655850
2017-10-10,VIC,18.92,19.17,18.62,19.17,1812200
2017-10-11,VIC,19.17,20.16,19.17,20.16,1820720
2017-10-12,VIC,20.02,20.49,19.8,20.2,955520
2017-10-13,VIC,20.02,20.57,19.98,20.57,1163690
2017-10-16,VIC,20.57,20.64,20.05,20.05,1164490
2017-10-17,VIC,20.13,20.49,20.02,20.31,611740
2017-10-18,VIC,20.31,20.46,20.16,20.16,645210
2017-10-19,VIC,20.16,20.27,20.02,20.2,652270
2017-10-20,VIC,20.2,20.49,20.05,20.31,1699930
2017-10-23,VIC,20.35,20.42,20.2,20.35,1042390
2017-10-24,VIC,20.38,20.49,20.09,20.38,1015940
2017-10-25,VIC,20.38,20.42,20.2,20.31,639470
2017-10-26,VIC,20.31,20.35,19.47,20.31,1424800
2017-10-27,VIC,20.49,21.08,20.27,20.94,1881040
2017-10-30,VIC,21.08,21.49,20.97,21.3,1520110
2017-10-31,VIC,21.41,21.6,21.19,21.49,1225710
2017-11-01,VIC,21.52,21.6,21.38,21.52,1443760
2017-11-02,VIC,21.52,22.04,21.49,22.04,1396970
2017-11-03,VIC,22.0,22.26,21.67,22.11,1227960
2017-11-06,VIC,22.18,22.33,22.04,22.22,1023210
2017-11-07,VIC,22.33,22.96,22.15,22.77,1645400
2017-11-08,VIC,23.51,24.09,22.96,24.06,2031740
2017-11-09,VIC,24.79,25.71,24.61,25.2,1902810
2017-11-10,VIC,24.9,25.71,23.98,24.24,2037660
2017-11-13,VIC,24.24,25.2,23.98,25.2,1213210
2017-11-14,VIC,25.16,25.53,24.76,25.2,1697460
2017-11-15,VIC,25.2,25.53,24.72,25.34,2415870
2017-11-16,VIC,24.98,25.67,24.98,25.67,1449350
2017-11-17,VIC,25.78,26.45,25.67,26.22,1572620
2017-11-20,VIC,26.37,28.02,26.26,28.02,1958970
2017-11-21,VIC,28.65,29.97,28.1,28.28,3764030
2017-11-22,VIC,28.28,28.94,27.0,27.91,1670670
