date,symbol,open,high,low,close,volume
2017-08-15,VNM,70.72,70.86,70.15,70.15,537150
2017-08-16,VNM,70.01,70.01,69.02,69.68,427170
2017-08-17,VNM,69.68,70.44,69.45,70.3,842250
2017-08-18,VNM,69.97,70.58,69.97,70.49,355880
2017-08-21,VNM,70.53,70.53,70.34,70.34,247430
2017-08-22,VNM,70.39,70.39,70.01,70.15,418410
2017-08-23,VNM,70.11,70.15,69.82,70.15,403240
2017-08-24,VNM,69.97,70.15,69.97,70.06,244450
2017-08-25,VNM,70.15,70.15,69.97,70.15,274610
2017-08-28,VNM,70.15,70.15,69.78,70.06,323280
2017-08-29,VNM,69.92,70.06,69.63,69.68,670760
2017-08-30,VNM,69.68,69.97,69.68,69.92,515460
2017-08-31,VNM,70.15,71.1,70.06,70.11,591080
2017-09-01,VNM,70.34,71.57,70.34,71.57,549830
2017-09-05,VNM,71.57,72.19,71.38,72.09,860140
2017-09-06,VNM,72.0,72.0,71.19,71.34,325420
2017-09-07,VNM,71.19,71.19,70.58,70.63,433550
2017-09-08,VNM,70.39,70.67,70.3,70.44,303590
2017-09-11,VNM,70.44,70.44,70.01,70.11,664250
2017-09-12,VNM,69.82,70.15,69.78,69.97,676440
2017-09-13,VNM,70.01,70.01,69.92,70.01,991330
2017-09-14,VNM,69.92,70.11,69.92,70.06,805690
2017-09-15,VNM,69.87,70.06,69.73,69.92,1520080
2017-09-18,VNM,69.68,70.86,69.68,70.39,555240
2017-09-19,VNM,70.39,70.49,70.11,70.11,343070
2017-09-20,VNM,70.11,70.49,69.92,70.34,367110
2017-09-21,VNM,70.15,70.15,69.92,69.92,741410
2017-09-22,VNM,69.92,70.15,69.78,69.78,353760
2017-09-25,VNM,69.78,69.92,69.54,69.92,254360
2017-09-26,VNM,69.92,70.2,69.78,69.97,338160
2017-09-27,VNM,69.92,70.15,69.87,69.92,310820
2017-09-28,VNM,69.92,70.39,69.87,70.39,440360
2017-09-29,VNM,70.39,71.34,70.34,70.49,996610
2017-10-02,VNM,70.44,70.63,70.11,70.15,297110
2017-10-03,VNM,70.2,70.2,69.78,69.87,634960
