date,symbol,open,high,low,close,volume
2018-07-02,ACB,6.87,6.87,6.33,6.43,6858520
2018-07-03,ACB,6.45,6.56,5.91,5.98,7375018
2018-07-04,ACB,5.89,6.18,5.89,6.18,4127586
2018-07-05,ACB,6.04,6.18,5.69,5.77,4948503
2018-07-06,ACB,5.6,6.33,5.6,6.33,7854475
2018-07-09,ACB,6.37,6.58,6.33,6.37,4587386
2018-07-10,ACB,6.37,6.6,6.35,6.54,3244193
2018-07-11,ACB,6.45,6.47,5.98,6.16,7023863
2018-07-12,ACB,6.76,6.76,6.16,6.39,4150902
2018-07-13,ACB,6.39,6.66,5.98,6.6,3940996
2018-07-16,ACB,6.66,6.79,6.6,6.66,3769038
2018-07-17,ACB,6.93,6.93,6.54,6.87,5135363
2018-07-18,ACB,6.95,7.05,6.76,6.99,4359010
2018-07-19,ACB,6.99,6.99,6.79,6.83,6338767
2018-07-20,ACB,6.83,7.1,6.68,7.1,8925712
2018-07-23,ACB,7.12,7.14,6.89,6.89,4970456
2018-07-24,ACB,6.89,7.24,6.66,6.79,4390214
2018-07-25,ACB,7.24,7.24,6.56,6.56,4478560
2018-07-26,ACB,5.91,6.89,5.91,6.72,6326835
2018-07-27,ACB,6.76,6.93,6.74,6.87,4283058
2018-07-30,ACB,6.89,7.05,6.87,6.97,3446870
2018-07-31,ACB,6.95,7.05,6.87,6.91,4169999
2018-08-01,ACB,6.91,6.97,6.78,6.85,3370615
2018-08-02,ACB,6.85,6.87,6.7,6.85,4547726
2018-08-03,ACB,6.91,7.03,6.85,6.85,3765836
2018-08-06,ACB,6.85,6.91,6.74,6.79,2378607
2018-08-07,ACB,6.81,6.91,6.74,6.85,3340719
2018-08-08,ACB,6.87,7.08,6.85,7.08,6086041
2018-08-09,ACB,7.08,7.26,7.08,7.1,6024097
2018-08-10,ACB,7.1,7.2,6.99,7.2,4939666
2018-08-13,ACB,7.2,7.35,7.1,7.35,7344210
2018-08-14,ACB,7.41,7.41,7.24,7.24,3333384
2018-08-15,ACB,7.28,7.35,7.12,7.14,6050256
2018-08-16,ACB,7.1,7.18,6.95,7.1,6703679
2018-08-17,ACB,7.1,7.26,7.1,7.1,3162682
2018-08-20,ACB,7.12,7.2,7.05,7.08,3250515
2018-08-21,ACB,7.08,7.32,7.08,7.32,5164728
2018-08-22,ACB,7.34,7.41,7.28,7.3,4526943
2018-08-23,ACB,7.32,7.39,7.28,7.37,3014955
2018-08-24,ACB,7.37,7.59,7.32,7.49,7614923
2018-08-27,ACB,7.53,7.63,7.49,7.49,3180882
2018-08-28,ACB,7.51,7.57,7.49,7.51,5158953
2018-08-29,ACB,7.59,7.63,7.49,7.59,4615659
2018-08-30,ACB,7.61,7.66,7.57,7.66,4212097
2018-08-31,ACB,7.66,7.66,7.51,7.55,4286128
2018-09-04,ACB,7.51,7.53,7.3,7.34,5963473
2018-09-05,ACB,7.32,7.39,7.18,7.26,4808542
2018-09-06,ACB,7.55,7.59,7.24,7.26,3164832
2018-09-07,ACB,7.26,7.41,7.26,7.41,2485961
2018-09-10,ACB,7.41,7.41,6.84,7.28,3148899
2018-09-11,ACB,7.26,7.37,7.26,7.33,3898476
2018-09-12,ACB,7.37,7.39,7.3,7.3,2964205
2018-09-13,ACB,7.33,7.5,7.3,7.41,6398577
2018-09-14,ACB,7.41,7.53,7.41,7.48,4140257
2018-09-17,ACB,7.48,7.48,7.37,7.37,1908269
2018-09-18,ACB,7.33,7.44,7.3,7.44,2411600
2018-09-19,ACB,7.46,7.53,7.41,7.44,2798730
2018-09-20,ACB,7.44,7.53,7.41,7.5,3473652
2018-09-21,ACB,7.53,7.64,7.5,7.64,7293427
2018-09-24,ACB,7.66,7.7,7.61,7.61,2805624
2018-09-25,ACB,7.59,7.68,7.55,7.55,3999558
2018-09-26,ACB,7.55,7.64,7.5,7.53,2915363
2018-09-27,ACB,7.53,7.57,7.48,7.53,2942652
2018-09-28,ACB,7.55,7.66,7.53,7.57,3783478
2018-10-01,ACB,7.57,7.64,7.48,7.48,3222310
2018-10-02,ACB,7.48,7.5,7.33,7.39,5220366
2018-10-03,ACB,7.55,7.55,7.37,7.44,1954922
2018-10-04,ACB,7.44,7.59,7.44,7.55,3180913
2018-10-05,ACB,7.55,7.59,7.46,7.46,4183777
2018-10-08,ACB,7.44,7.53,7.41,7.48,2175364
2018-10-09,ACB,7.48,7.53,7.46,7.48,3010019
2018-10-10,ACB,7.48,7.53,7.44,7.46,2803041
2018-10-11,ACB,7.39,7.39,6.75,6.88,9392018
2018-10-12,ACB,6.79,7.1,6.66,7.1,4923922
2018-10-15,ACB,7.15,7.15,6.88,6.88,2403128
2018-10-16,ACB,6.88,6.99,6.88,6.95,1942897
2018-10-17,ACB,7.04,7.1,6.97,6.99,2292759
2018-10-18,ACB,6.99,6.99,6.86,6.88,1691619
2018-10-19,ACB,6.86,7.1,6.7,6.88,2186199
2018-10-22,ACB,6.88,6.95,6.84,6.84,1648420
2018-10-23,ACB,6.84,6.84,6.55,6.57,4059421
2018-10-24,ACB,6.57,6.73,6.5,6.5,3420367
2018-10-25,ACB,6.42,6.53,6.13,6.42,5147562
2018-10-26,ACB,6.46,6.64,6.28,6.28,2884427
2018-10-29,ACB,6.28,6.3,6.1,6.22,3999762
2018-10-30,ACB,6.22,6.46,6.17,6.33,3626018
2018-10-31,ACB,6.35,6.73,6.35,6.73,4795396
2018-11-01,ACB,6.73,6.79,6.5,6.5,2904172
2018-11-02,ACB,6.55,6.75,6.55,6.75,4366028
2018-11-05,ACB,6.75,6.77,6.57,6.7,3088300
2018-11-06,ACB,6.7,6.75,6.53,6.53,2657882
2018-11-07,ACB,6.55,6.59,6.44,6.5,2944403
2018-11-08,ACB,6.59,6.66,6.5,6.53,2607660
2018-11-09,ACB,6.53,6.57,6.37,6.37,2981239
2018-11-12,ACB,6.37,6.39,6.28,6.37,1775059
2018-11-13,ACB,6.35,6.35,6.22,6.28,2753099
2018-11-14,ACB,6.26,6.33,6.08,6.13,3291576
2018-11-15,ACB,6.02,6.24,6.02,6.1,2698586
2018-11-16,ACB,6.1,6.42,6.1,6.33,3519615
2018-11-19,ACB,6.28,6.44,6.28,6.44,2238672
2018-11-20,ACB,6.44,6.44,6.35,6.42,2168097
2018-11-21,ACB,6.35,6.44,6.28,6.42,2458849
2018-11-22,ACB,6.64,6.68,6.46,6.53,4403748
2018-11-23,ACB,6.55,6.55,6.44,6.44,2688110
2018-11-26,ACB,6.33,6.46,6.33,6.46,1633057
2018-11-27,ACB,6.46,6.5,6.35,6.39,2599848
2018-11-28,ACB,5.95,6.55,5.95,6.53,3171523
2018-11-29,ACB,6.55,6.66,6.55,6.55,3544622
2018-11-30,ACB,6.1,6.68,6.1,6.62,2971296
2018-12-03,ACB,6.64,6.95,6.64,6.95,4691062
2018-12-04,ACB,6.95,7.01,6.84,6.9,2802120
2018-12-05,ACB,6.86,6.93,6.75,6.88,3447060
2018-12-06,ACB,6.84,6.95,6.79,6.84,3345040
2018-12-07,ACB,6.86,6.95,6.79,6.79,2288776
2018-12-10,ACB,6.77,6.86,6.64,6.77,2669530
